"Date","Price","Open","High","Low","Change %"
"07/08/2026","4.501","4.501","4.514","4.494","0.81%"
"07/07/2026","4.465","4.450","4.468","4.394","0.38%"
"07/06/2026","4.448","4.489","4.489","4.440","-0.29%"
"07/03/2026","4.461","4.479","4.482","4.460","-0.65%"
"07/02/2026","4.490","4.483","4.495","4.478","0.42%"
"07/01/2026","4.471","4.459","4.473","4.455","0.81%"
"06/30/2026","4.435","4.443","4.443","4.434","-0.29%"
"06/29/2026","4.448","4.446","4.448","4.434","0.57%"
"06/26/2026","4.423","4.440","4.448","4.421","-0.14%"
"06/25/2026","4.429","4.426","4.444","4.424","-0.81%"
"06/24/2026","4.465","4.471","4.480","4.454","-0.18%"
"06/23/2026","4.473","4.490","4.491","4.473","-0.51%"
"06/22/2026","4.496","4.489","4.499","4.487","-0.16%"
"06/19/2026","4.503","4.487","4.506","4.481","0.40%"
"06/18/2026","4.485","4.461","4.506","4.460","0.79%"
"06/17/2026","4.450","4.460","4.470","4.450","-0.78%"
"06/16/2026","4.485","4.507","4.520","4.463","0.04%"
"06/15/2026","4.483","4.468","4.483","4.441","0.02%"
"06/12/2026","4.482","4.517","4.520","4.465","-1.10%"
"06/11/2026","4.532","4.531","4.556","4.526","-0.24%"
"06/10/2026","4.543","4.569","4.569","4.535","-1.20%"
"06/09/2026","4.598","4.661","4.666","4.590","-1.69%"
"06/08/2026","4.677","4.651","4.680","4.607","0.58%"
"06/06/2026","4.650","4.632","4.650","4.650","0.96%"
"06/05/2026","4.606","4.603","4.617","4.597","0.09%"
"06/04/2026","4.602","4.622","4.622","4.589","-0.13%"
"06/03/2026","4.608","4.605","4.617","4.593","0.72%"
"06/02/2026","4.575","4.572","4.610","4.570","0.07%"
"06/01/2026","4.572","4.527","4.572","4.527","0.44%"
"05/30/2026","4.552","4.536","4.552","4.550","0.37%"
"05/29/2026","4.535","4.543","4.554","4.510","-0.92%"
"05/28/2026","4.577","4.554","4.585","4.550","0.81%"
"05/27/2026","4.540","4.610","4.610","4.519","-1.13%"
"05/26/2026","4.592","4.562","4.599","4.562","0.53%"
"05/25/2026","4.568","4.600","4.600","4.548","-0.54%"
"05/22/2026","4.593","4.606","4.610","4.573","-0.71%"
"05/21/2026","4.626","4.680","4.688","4.564","-1.99%"
"05/20/2026","4.720","4.726","4.734","4.713","0.45%"
"05/19/2026","4.699","4.733","4.743","4.694","-1.18%"
"05/18/2026","4.755","4.772","4.793","4.755","0.08%"
"05/15/2026","4.751","4.709","4.753","4.707","0.93%"
"05/14/2026","4.707","4.736","4.736","4.701","-1.05%"
"05/13/2026","4.757","4.763","4.777","4.755","0.36%"
"05/12/2026","4.740","4.737","4.740","4.726","0.47%"
"05/11/2026","4.718","4.677","4.720","4.677","0.51%"
"05/08/2026","4.694","4.690","4.701","4.675","1.01%"
"05/07/2026","4.647","4.610","4.649","4.574","-0.62%"
"05/06/2026","4.676","4.667","4.698","4.627","0.13%"
"05/05/2026","4.670","4.716","4.732","4.638","-0.51%"
"05/04/2026","4.694","4.708","4.713","4.679","-0.84%"
"05/01/2026","4.734","4.701","4.752","4.701","-1.25%"
"04/30/2026","4.794","4.786","4.802","4.764","2.07%"
"04/29/2026","4.697","4.786","4.808","4.691","-0.97%"
"04/28/2026","4.743","4.702","4.743","4.700","0.96%"
"04/27/2026","4.698","4.701","4.731","4.642","-0.02%"
"04/24/2026","4.699","4.701","4.731","4.699","-0.04%"
"04/23/2026","4.701","4.654","4.717","4.653","1.51%"
"04/22/2026","4.631","4.632","4.636","4.617","1.05%"
"04/21/2026","4.583","4.601","4.611","4.550","-0.48%"
"04/20/2026","4.605","4.600","4.678","4.591","-1.39%"
"04/17/2026","4.670","4.689","4.698","4.670","0.34%"
"04/16/2026","4.654","4.659","4.665","4.636","0.67%"
"04/15/2026","4.623","4.613","4.665","4.573","-0.60%"
"04/14/2026","4.651","4.667","4.733","4.633","-1.34%"
"04/13/2026","4.714","4.693","4.766","4.693","0.70%"
"04/10/2026","4.681","4.613","4.688","4.612","0.88%"
"04/09/2026","4.640","4.636","4.656","4.618","1.07%"
"04/08/2026","4.591","4.627","4.635","4.572","-2.03%"
"04/07/2026","4.686","4.746","4.746","4.667","-1.16%"
"04/06/2026","4.741","4.741","4.741","4.741","-0.08%"
"04/02/2026","4.745","4.643","4.750","4.625","3.06%"
"04/01/2026","4.604","4.620","4.631","4.590","-1.20%"
"03/31/2026","4.660","4.684","4.710","4.646","-1.15%"
"03/30/2026","4.714","4.810","4.876","4.714","-2.18%"
"03/27/2026","4.819","4.810","4.833","4.761","2.01%"
"03/26/2026","4.724","4.633","4.735","4.618","2.01%"
"03/25/2026","4.631","4.731","4.731","4.601","-1.89%"
"03/24/2026","4.720","4.691","4.761","4.683","-1.97%"
"03/23/2026","4.815","4.845","4.915","4.781","1.11%"
"03/20/2026","4.762","4.688","4.765","4.664","3.01%"
"03/19/2026","4.623","4.592","4.643","4.480","2.48%"
"03/18/2026","4.511","4.520","4.520","4.483","-0.35%"
"03/17/2026","4.527","4.540","4.558","4.484","-0.57%"
"03/16/2026","4.553","4.557","4.563","4.514","0.71%"
"03/13/2026","4.521","4.530","4.539","4.494","0.31%"
"03/12/2026","4.507","4.502","4.536","4.494","1.88%"
"03/11/2026","4.424","4.420","4.452","4.416","0.14%"
"03/10/2026","4.418","4.396","4.434","4.350","-1.32%"
"03/09/2026","4.477","4.395","4.523","4.395","2.47%"
"03/06/2026","4.369","4.349","4.378","4.326","1.27%"
"03/05/2026","4.314","4.303","4.315","4.294","1.15%"
"03/04/2026","4.265","4.311","4.343","4.242","-0.79%"
"03/03/2026","4.299","4.238","4.303","4.235","3.29%"
"03/02/2026","4.162","4.195","4.198","4.159","-0.76%"
"02/27/2026","4.194","4.195","4.198","4.188","-0.52%"
"02/26/2026","4.216","4.213","4.222","4.207","-0.35%"
"02/25/2026","4.231","4.197","4.253","4.196","0.86%"
"02/24/2026","4.195","4.194","4.211","4.189","-0.17%"
"02/23/2026","4.202","4.227","4.235","4.188","-0.45%"
"02/20/2026","4.221","4.252","4.254","4.221","-1.10%"
"02/19/2026","4.268","4.216","4.276","4.210","1.64%"
"02/18/2026","4.199","4.192","4.201","4.186","0.57%"
"02/17/2026","4.175","4.211","4.222","4.173","-0.97%"
