"Date","Price","Open","High","Low","Change %"
"07/20/2026","4.3804","4.4022","4.4048","4.3733","0.59%"
"07/17/2026","4.3547","4.3131","4.3586","4.3125","0.16%"
"07/16/2026","4.3477","4.3445","4.3802","4.3267","0.71%"
"07/15/2026","4.3172","4.3751","4.3770","4.3083","-1.01%"
"07/14/2026","4.3611","4.4437","4.4520","4.3166","0.10%"
"07/13/2026","4.3566","4.2806","4.3611","4.2736","2.94%"
"07/10/2026","4.2320","4.2327","4.2484","4.2207","-0.31%"
"07/09/2026","4.2452","4.2754","4.3081","4.2452","-2.18%"
"07/08/2026","4.3396","4.2184","4.3447","4.2184","3.70%"
"07/07/2026","4.1848","4.1360","4.1885","4.1291","1.14%"
"07/06/2026","4.1376","4.1138","4.1394","4.1126","0.19%"
"07/03/2026","4.1298","4.1279","4.1541","4.1242","0.08%"
"07/02/2026","4.1265","4.1458","4.1601","4.1117","-0.26%"
"07/01/2026","4.1374","4.1827","4.1877","4.1350","-0.63%"
"06/30/2026","4.1638","4.1186","4.1706","4.1100","0.74%"
"06/29/2026","4.1332","4.1369","4.1610","4.1227","0.08%"
"06/26/2026","4.1299","4.0972","4.1619","4.0892","0.24%"
"06/25/2026","4.1199","4.1451","4.1506","4.1033","-0.29%"
"06/24/2026","4.1319","4.1558","4.1632","4.1129","-0.96%"
"06/23/2026","4.1721","4.1861","4.1929","4.1610","-1.01%"
"06/22/2026","4.2146","4.2470","4.2654","4.1962","-1.00%"
"06/19/2026","4.2570","4.2362","4.2613","4.2221","1.45%"
"06/18/2026","4.1960","4.1784","4.2167","4.1760","1.07%"
"06/17/2026","4.1514","4.1223","4.1696","4.1223","-1.03%"
"06/16/2026","4.1947","4.1784","4.2135","4.1560","0.43%"
"06/15/2026","4.1769","4.1769","4.1896","4.1557","-1.60%"
"06/12/2026","4.2450","4.2410","4.2810","4.2120","-2.37%"
"06/11/2026","4.3480","4.3780","4.3870","4.3210","-0.59%"
"06/10/2026","4.3740","4.3390","4.3900","4.3340","0.74%"
"06/09/2026","4.3420","4.3560","4.3740","4.3310","-0.98%"
"06/08/2026","4.3850","4.3920","4.4110","4.3420","0.90%"
"06/05/2026","4.3460","4.3260","4.3760","4.3070","0.16%"
"06/04/2026","4.3390","4.3600","4.3730","4.3260","-0.96%"
"06/03/2026","4.3810","4.3600","4.3830","4.3360","1.51%"
"06/02/2026","4.3160","4.2660","4.3200","4.2630","-0.37%"
"06/01/2026","4.3320","4.2510","4.3470","4.2350","2.65%"
"05/29/2026","4.2200","4.2550","4.2560","4.2060","-0.47%"
"05/28/2026","4.2400","4.2940","4.3020","4.2340","-0.87%"
"05/27/2026","4.2770","4.2670","4.2790","4.2370","-0.72%"
"05/26/2026","4.3080","4.2990","4.3170","4.2700","-0.65%"
"05/25/2026","4.3360","4.3360","4.3360","4.3360","0.00%"
"05/22/2026","4.3360","4.3450","4.3670","4.3220","-1.07%"
"05/21/2026","4.3830","4.3740","4.4020","4.3270","0.39%"
"05/20/2026","4.3660","4.4440","4.4440","4.3580","-3.26%"
"05/19/2026","4.5130","4.4560","4.5200","4.4440","0.51%"
"05/18/2026","4.4900","4.5350","4.5490","4.4800","-1.58%"
"05/15/2026","4.5620","4.5310","4.5720","4.5270","2.98%"
"05/14/2026","4.4300","4.4770","4.4860","4.4240","-1.38%"
"05/13/2026","4.4920","4.5000","4.5540","4.4870","-1.12%"
"05/12/2026","4.5430","4.5720","4.5900","4.5280","1.47%"
"05/11/2026","4.4770","4.4260","4.4830","4.4220","2.10%"
"05/08/2026","4.3850","4.3980","4.4000","4.3390","-0.09%"
