event_id,datetime_local,datetime_utc,date_local,time_local,utc_offset,year,month,weekday,currency,impact,impact_score,category,event,actual_raw,forecast_raw,previous_raw,actual_num,forecast_num,previous_num,value_unit,surprise_abs,surprise_ratio,actual_minus_previous,has_actual,has_forecast,is_speech_or_communication,is_rate_decision
636dfb0deea29b44,1/1/2010 4:30,1/1/2010 1:00,1/1/2010,4:30:00,+03:30,2010,1,Friday,CNY,High,3,Business Activity,Manufacturing PMI,56.6,55.4,55.2,56.6,55.4,55.2,number,1.2,0.02166065,1.4,1,1,0,0
65bb6aef173212ae,1/3/2010 18:45,1/3/2010 15:15,1/3/2010,18:45:00,+03:30,2010,1,Sunday,USD,Medium,2,Central Bank,FOMC Member Kohn Speaks,,,,,,,,,,,0,0,1,0
2cfcd6bd27caf5e2,1/3/2010 19:00,1/3/2010 15:30,1/3/2010,19:00:00,+03:30,2010,1,Sunday,USD,High,3,Communication,Fed Chairman Bernanke Speaks,,,,,,,,,,,0,0,1,0
8dcc3b1253933108,1/4/2010 0:00,1/3/2010 20:30,1/4/2010,0:00:00,+03:30,2010,1,Monday,GBP,High,3,Business Activity,Final Manufacturing PMI,54.1,52.1,51.8,54.1,52.1,51.8,number,2,0.038387716,2.3,1,1,0,0
ebf662f4494ec94e,1/4/2010 0:00,1/3/2010 20:30,1/4/2010,0:00:00,+03:30,2010,1,Monday,GBP,Medium,2,Other,Net Lending to Individuals m/m,1.1B,0.6B,0.5B,1100000000,600000000,500000000,scaled_number,500000000,0.833333333,600000000,1,1,0,0
2e729a909907dae5,1/4/2010 6:00,1/4/2010 2:30,1/4/2010,6:00:00,+03:30,2010,1,Monday,CNY,Medium,2,Business Activity,Caixin Manufacturing PMI,56.1,,55.7,56.1,,55.7,number,,,0.4,1,0,0,0
1b199b7986add61c,1/4/2010 9:00,1/4/2010 5:30,1/4/2010,9:00:00,+03:30,2010,1,Monday,AUD,Medium,2,Other,Commodity Prices y/y,-16.60%,,-24.40%,-16.6,,-24.4,percent,,,7.8,1,0,0,0
6a92c8f52389d83b,1/4/2010 11:45,1/4/2010 8:15,1/4/2010,11:45:00,+03:30,2010,1,Monday,EUR,Medium,2,Business Activity,Spanish Manufacturing PMI,45.2,,45.3,45.2,,45.3,number,,,-0.1,1,0,0,0
275b0d6d45ae23be,1/4/2010 12:00,1/4/2010 8:30,1/4/2010,12:00:00,+03:30,2010,1,Monday,CHF,Medium,2,Business Activity,Manufacturing PMI,54.6,57.1,56.9,54.6,57.1,56.9,number,-2.5,-0.043782837,-2.3,1,1,0,0
5a5e2ca89e99e7c4,1/4/2010 18:30,1/4/2010 15:00,1/4/2010,18:30:00,+03:30,2010,1,Monday,USD,High,3,Business Activity,ISM Manufacturing PMI,55.9,54.1,53.6,55.9,54.1,53.6,number,1.8,0.033271719,2.3,1,1,0,0
